1,Tu,veux,gar,der,les,ti,ckets
2,Vou,s a,llez,nous,en,par,ler
3,Tu,veux,res,ter,pour,la,nuit
4,Vou,s a,vez,beau,coup,d’a,mis
5,Tu,veux,qu’on,ra,mène,du,vin
6,Il,faut,a,voir,un,passe,port
7,Vous,vou,lez,man,ger,chez,moi
8,On,peut,lui,do,nner,du,lait
9,Tu,vas,res,ter,chez,ta,soeur
10,Vou,s ha,bi,tez,à,Bor,deaux
11,T’as,gar,dé,toutes,les,fac,tures
12,Vous,vou,lez,qu’on,vienne,vous,voir
13,Tu,m'as,ren,du,mon,sty,lo
14,Elle,a,sui,vi,ses,con,seils
15,Vou,s en,vou,lez,un,peu,plus
16,Il,nous,reste,en,core,du,pain
17,Vous,faites,beau,coup,d’e,xer,cice
18,Vous,co,nnai,ssez,bien,la,ville
19,Tu,sais,par,ler,por,tu,gais
20,T'es,pa,ssé,par,l'au,tor,oute
21,T'as,pré,pa,ré,leur,goû,ter
22,T'as,des,é,tu,diants,sym,pa
23,Tu,veux,tra,va,iller,chez,moi
24,Vou,s a,vez,mis,du,cu,min
25,Vou,s a,llez,pa,sser,plus,tard
26,Vou,s a,vez,pris,la,bonne,taille
27,Tu,co,nnais,son,nu,mé,ro
28,Nous,pou,vons,pa,sser,la,voir
29,Tu,vas,pou,voir,la,gar,der
30,T'as,im,pri,mé,ton,ra,pport
31,T'as,dé,bran,ché,la,té,lé
32,Vou,s a,vez,les,do,cu,ments
33,Vou,s a,vez,pu,lui,mon,trer
34,il,a,fi,ni,son,tra,vail
35,Tu,sais,par,ler,por,tu,gais
36,Tu,veux,gar,der,les,ti,ckets
37,T'as,des,é,tu,diants,sym,pa
38,Vous,a,vez,beau,coup,d’a,mis
39,Vous,a,llez,pa,sser,plus,tard
40,Vous,vou,lez,man,ger,chez,moi
41,Nous,pou,vons,pa,sser,la,voir
42,Vous,ha,bi,tez,à,Bor,deaux
43,T'as,dé,bran,ché,la,té,lé
44,Tu,m'as,ren,du,mon,sty,lo
45,il,a,fi,ni,son,tra,vail
46,Il,nous,res,te en,core,du,pain
47,T'es,pa,ssé,par,l'au,to,route
48,Vous,a,llez,nous,en,par,ler
49,Tu,veux,tra,va,iller,chez,moi
50,Tu,veux,qu’on,ra,mène,du,vin
51,Vous,a,vez,pris,la,bonne,taille
52,On,peut,lui,do,nner,du,lait
53,Tu,vas,pou,voir,la,gar,der
54,T’as,gar,dé,toutes,les,fac,tures
55,Vous,a,vez,les,do,cu,ments
56,Elle,a,sui,vi,ses,con,seils
57,Vous,faites,beau,coup,d’e,xer,cice
58,Vou,s a,vez,pu,lui,mon,trer
59,Tu,veux,res,ter,pour,la,nuit
60,T'as,im,pri,mé,ton,ra,pport
61,Il,faut,a,voir,un,passe,port
62,Tu,co,nnais,son,nu,mé,ro
63,Tu,vas,res,ter,chez,ta,soeur
64,Vou,s a,vez,mis,du,cu,min
65,Vous,vou,lez,qu’on,vienne,vous,voir
66,T'as,pré,pa,ré,leur,goû,ter
67,Vou,sen,vou,lez,un,peu,plus
68,Vous,co,nnai,ssez,bien,la,ville
69,il,a,fi,ni,son,tra,vail
70,Tu,veux,gar,der,les,ti,ckets
71,Vou,s a,vez,beau,coup,d’a,mis
72,T'as,dé,bran,ché,la,té,lé
73,Vous,vou,lez,mang,er,chez,moi
74,Nous,pou,vons,pa,sser,la,voir
75,Vou,s ha,bi,tez,à,Bor,deaux
76,Vou,s a,llez,pa,sser,plus,tard
77,Tu,m'as,ren,du,mon,sty,lo
78,T'as,de,s é,tu,diants,sym,pa
79,Il,nous,res,te en,core,du,pain
80,Tu,sais,par,ler,por,tu,gais
81,Vou,s a,llez,nou,s en,par,ler
82,Vou,s a,vez,les,do,cu,ments
83,Tu,veux,qu’on,ra,mène,du,vin
84,Tu,vas,pou,voir,la,gar,der
85,On,peut,lui,do,nner,du,lait
86,Vou,s a,vez,pris,la,bonne,taille
87,T’as,gar,dé,toutes,les,fac,tures
88,Tu,veux,tra,va,iller,chez,moi
89,Elle,a,sui,vi,ses,con,seils
90,T'es,pa,ssé,par,l'au,to,route
91,Vous,faites,beau,coup,d’e,xer,cice
92,Tu,veux,res,ter,pour,la,nuit
93,Vou,s a,vez,pu,lui,mon,trer
94,Il,faut,a,voir,un,passe,port
95,T'as,im,pri,mé,ton,ra,pport
96,Tu,vas,res,ter,chez,ta,soeur
97,Tu,co,nnais,son,nu,mé,ro
98,Vous,vou,lez,qu’on,vienne,vous,voir
99,Vou,s a,vez,mis,du,cu,min
100,Vou,s en,vou,lez,un,peu,plus
101,T'as,pré,pa,ré,leur,goû,ter
102,Vous,co,nnai,ssez,bien,la,ville
